Symbol,Price
SAN,2.450000047683716
KMB,109.58999633789062
CM,42.560001373291016
TAK,13.140000343322754
HMC,22.309999465942383
NXPI,151.75
ROP,369.3699951171875
ADSK,194.74000549316406
CTAS,398.4100036621094
SMFG,5.619999885559082
VLO,113.77999877929688
XEL,59.86000061035156
STLA,11.930000305175781
FDX,154.41000366210938
LNG,174.0
WDAY,152.8800048828125
FTNT,51.470001220703125
MSI,229.85000610351562
O,58.029998779296875
FCX,28.950000762939453
WDS,22.329999923706055
SYY,72.19000244140625
ENPH,255.14999389648438
DVN,72.04000091552734
KKR,44.900001525878906
CRWD,171.8800048828125
KMI,17.239999771118164
LULU,298.2200012207031
SU,32.79999923706055
MRVL,42.349998474121094
TRV,156.8800048828125
E,22.920000076293945
TEL,114.16000366210938
A,127.44000244140625
PSX,92.5
